"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"1","E113002",1,"Phoenix School",113,113,"FAST Program",NA,NA,1,1,NA,3,3,4,2,4,3,4,4,3,3,3,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"2","E417005",4,"San Antonio School",417,439,"Control School",NA,NA,1,0.977,NA,5,6,1,1,4,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"3","S301004",3,"Phoenix School",301,NA,"FAST Program",NA,NA,3,1,NA,NA,1,1,3,4,4,NA,3,1,1,NA,1,4,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"0"
"4","S322002",3,"Phoenix School",322,NA,"FAST Program",NA,NA,NA,NA,NA,NA,2,2,2,3,3,3,3,3,2,4,3,4,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","S048014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","S321026",3,"Phoenix School",321,321,"Control School",NA,NA,1,0.677,NA,5,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7,"1"
"7","E309053",3,"Phoenix School",309,309,"FAST Program",NA,NA,3,0.95,NA,5,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,"0"
"8","S108023",1,"Phoenix School",108,NA,"Control School",NA,NA,1,0.989,NA,NA,0,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"9","S207028",2,"Phoenix School",207,207,"FAST Program",NA,NA,1,0.967,NA,5,2,3,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"1"
"10","E411033",4,"San Antonio School",411,411,"Control School",NA,NA,1,0.977,NA,5,6,1,2,2,3,2,2,3,5,2,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"11","E218105",2,"Phoenix School",218,218,"Control School",NA,NA,1,0.928,NA,5,NA,3,1,3,4,1,3,4,NA,3,1,3,4,1,3,4,5,3,1,2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.8,"1"
"12","E416011",4,"San Antonio School",416,409,"FAST Program",NA,NA,1,0.983,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"13","S418001",4,"San Antonio School",418,455,"FAST Program",NA,NA,1,0.977,NA,5,2,3,2,4,2,3,3,4,5,3,3,3,3,1,3,3,6,4,2,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"14","E417010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","S304020",3,"Phoenix School",304,304,"FAST Program",NA,NA,1,0.85,NA,4,2,3,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,"1"
"16","E210034",2,"Phoenix School",210,210,"FAST Program",NA,NA,NA,NA,NA,3,5,2,2,2,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,6,3,2,3,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","E406010",4,"San Antonio School",406,436,"FAST Program",NA,NA,3,0.96,NA,4,0,NA,1,1,2,1,1,2,2,NA,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"0"
"18","E123007",1,"Phoenix School",123,NA,"FAST Program",NA,NA,NA,NA,NA,NA,2,3,1,1,1,2,3,3,3,3,1,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","S117052",1,"Phoenix School",117,NA,"Control School",NA,NA,1,0.983,NA,NA,5,4,1,2,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"20","S409009",4,"San Antonio School",409,NA,"Control School",NA,NA,1,0.977,NA,NA,6,4,3,4,4,4,4,4,6,4,2,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"21","S304001",3,"Phoenix School",304,304,"FAST Program",NA,NA,1,0.983,NA,5,0,4,1,3,2,2,3,2,6,3,1,1,3,1,3,3,3,1,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"22","S304016",3,"Phoenix School",304,NA,"FAST Program",NA,NA,1,0.978,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"23","E408047",4,"San Antonio School",408,NA,"FAST Program",NA,NA,1,0.913,NA,NA,3,2,3,1,2,1,1,2,1,1,1,1,2,1,2,2,2,3,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.3,"1"
"24","E315011",3,"Phoenix School",315,315,"Control School",NA,NA,1,0.983,NA,3,4,2,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"25","S207009",2,"Phoenix School",207,207,"FAST Program",NA,NA,1,0.939,NA,5,1,1,3,1,2,1,1,1,5,4,3,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.9,"1"
"26","E418011",4,"San Antonio School",418,418,"FAST Program",NA,NA,1,0.915,NA,NA,2,2,4,1,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,"1"
"27","S321016",3,"Phoenix School",321,321,"Control School",NA,NA,1,0.983,NA,NA,6,3,2,2,3,2,3,3,3,4,2,2,1,2,2,1,3,3,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"28","S425054",4,"San Antonio School",425,420,"FAST Program",NA,NA,1,0.994,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"29","E424003",4,"San Antonio School",424,424,"Control School",NA,NA,1,0.994,NA,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"30","E402051",4,"San Antonio School",402,402,"Control School",NA,NA,2,0.949,NA,5,2,2,2,2,2,2,2,2,4,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"31","E409017",4,"San Antonio School",409,NA,"Control School",NA,NA,1,0.932,NA,NA,3,2,2,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,"1"
"32","E417031",4,"San Antonio School",417,NA,"Control School",NA,NA,1,0.932,NA,NA,3,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,"1"
"33","E415024",4,"San Antonio School",415,NA,"FAST Program",NA,NA,1,0.927,NA,NA,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,"1"
"34","E312013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","E210048",2,"Phoenix School",210,NA,"FAST Program",NA,NA,3,0.667,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,"0"
"36","S416002",4,"San Antonio School",416,NA,"FAST Program",NA,NA,2,0.841,NA,NA,4,3,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.1,"1"
"37","E425033",4,"San Antonio School",425,426,"FAST Program",NA,NA,1,0.977,NA,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"38","E421001",4,"San Antonio School",421,NA,"FAST Program",NA,NA,1,0.949,NA,NA,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"39","S117032",1,"Phoenix School",117,NA,"Control School",NA,NA,NA,1,NA,NA,3,3,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA
"40","E423027",4,"San Antonio School",423,423,"Control School",NA,NA,1,0.927,NA,5,6,3,2,3,2,1,3,3,6,3,2,3,3,2,3,2,6,3,1,3,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,"1"
"41","S224010",2,"Phoenix School",224,NA,"Control School",NA,NA,NA,NA,NA,NA,4,2,4,4,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","E405026",4,"San Antonio School",405,NA,"Control School",NA,NA,1,0.96,NA,NA,5,1,1,1,1,2,1,2,3,1,1,1,2,2,1,2,6,2,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"43","S206012",2,"Phoenix School",206,NA,"Control School",NA,NA,3,0.967,NA,NA,1,2,4,3,3,2,3,1,1,4,3,3,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"0"
"44","E304035",3,"Phoenix School",304,304,"FAST Program",NA,NA,1,0.983,NA,4,0,3,1,2,1,1,2,2,6,4,3,3,3,3,3,3,5,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"45","E111036",1,"Phoenix School",111,NA,"Control School",NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","E220059",2,"Phoenix School",220,220,"FAST Program",NA,NA,3,0.983,NA,5,2,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"0"
"47","E046002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","E416016",4,"San Antonio School",416,416,"FAST Program",NA,NA,2,1,NA,5,6,3,4,3,3,4,3,3,3,1,1,1,1,1,1,1,6,2,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"49","S406025",4,"San Antonio School",406,NA,"FAST Program",NA,NA,1,0.806,NA,NA,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,"1"
"50","E412025",4,"San Antonio School",412,NA,"Control School",NA,NA,1,0.938,NA,NA,1,2,2,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,"1"
"51","E416014",4,"San Antonio School",416,416,"FAST Program",NA,NA,1,0.893,NA,5,0,4,1,4,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3,"1"
"52","S418015",4,"San Antonio School",418,NA,"FAST Program",NA,NA,1,0.977,NA,NA,5,3,1,2,3,1,2,1,5,3,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"53","S303007",3,"Phoenix School",303,NA,"Control School",NA,NA,1,0.972,NA,NA,5,3,2,3,3,2,3,3,6,3,3,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"1"
"54","S412022",4,"San Antonio School",412,412,"Control School",NA,NA,1,0.915,NA,2,1,3,1,3,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,"1"
"55","S321013",3,"Phoenix School",321,321,"Control School",NA,NA,1,0.922,NA,NA,6,3,1,1,1,1,4,1,6,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"1"
"56","E426030",4,"San Antonio School",426,426,"FAST Program",NA,NA,1,0.983,NA,5,3,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"57","E304054",3,"Phoenix School",304,NA,"FAST Program",NA,NA,1,0.822,NA,NA,3,3,1,1,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.2,"1"
"58","E416099",4,"San Antonio School",416,433,"FAST Program",NA,NA,1,0.851,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.1,"1"
"59","S046029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","E426027",4,"San Antonio School",426,NA,"FAST Program",NA,NA,1,0.853,NA,NA,6,1,1,2,3,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.3,"1"
"61","S319009",3,"Phoenix School",319,319,"Control School",NA,NA,1,0.989,NA,5,6,3,2,3,3,2,4,3,6,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"62","S117068",1,"Phoenix School",117,NA,"Control School",NA,NA,1,1,NA,NA,6,1,3,2,2,1,2,2,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"63","S303035",3,"Phoenix School",303,NA,"Control School",NA,NA,1,0.933,NA,NA,5,4,3,3,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.3,"1"
"64","S117014",1,"Phoenix School",117,NA,"Control School",NA,NA,1,0.994,NA,NA,6,4,2,3,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"65","E410038",4,"San Antonio School",410,437,"Control School",NA,NA,3,0.983,NA,5,6,4,1,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"0"
"66","E424011",4,"San Antonio School",424,424,"Control School",NA,NA,3,0.944,NA,5,6,2,1,1,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"0"
"67","E220058",2,"Phoenix School",220,220,"FAST Program",NA,NA,3,0.994,NA,5,2,2,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"0"
"68","E414057",4,"San Antonio School",414,NA,"FAST Program",NA,NA,1,0.902,NA,NA,1,1,2,4,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.2,"1"
"69","E404015",4,"San Antonio School",404,404,"Control School",NA,NA,3,0.977,NA,3,4,3,3,3,3,1,3,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"0"
"70","E302022",3,"Phoenix School",302,302,"FAST Program",NA,NA,NA,NA,NA,3,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","E411029",4,"San Antonio School",411,411,"Control School",NA,NA,2,0.949,NA,5,4,4,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"72","E207015",2,"Phoenix School",207,NA,"FAST Program",NA,NA,1,0.967,NA,NA,1,3,2,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"1"
"73","S426029",4,"San Antonio School",426,404,"FAST Program",NA,NA,1,0.943,NA,3,0,2,1,1,1,1,4,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.3,"1"
"74","E218009",2,"Phoenix School",218,218,"Control School",NA,NA,3,0.967,NA,5,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"0"
"75","S116053",1,"Phoenix School",116,127,"FAST Program",NA,NA,1,1,NA,5,2,3,3,4,4,4,4,4,3,4,2,3,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"1"
"76","S224002",2,"Phoenix School",224,224,"Control School",NA,NA,2,0.983,NA,5,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3,"1"
"77","E406031",4,"San Antonio School",406,406,"FAST Program",NA,NA,2,0.938,NA,5,4,2,1,1,1,1,2,2,6,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,"1"
"78","E210049",2,"Phoenix School",210,210,"FAST Program",NA,NA,1,0.967,NA,3,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.7,"1"
"79","E405028",4,"San Antonio School",405,413,"Control School",NA,NA,2,0.938,NA,4,1,4,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8,"1"
"80","E226010",2,"Phoenix School",226,NA,"Control School",NA,NA,3,0.956,NA,NA,2,1,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,"0"
"81","S309032",3,"Phoenix School",309,NA,"FAST Program",NA,NA,2,0.944,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"82","E210019",2,"Phoenix School",210,210,"FAST Program",NA,NA,3,0.944,NA,3,5,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"0"
"83","S108047",1,"Phoenix School",108,NA,"Control School",NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","E401030",4,"San Antonio School",401,401,"FAST Program",NA,NA,1,0.96,NA,5,NA,2,NA,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"1"
"85","E421049",4,"San Antonio School",421,NA,"FAST Program",NA,NA,3,0.96,NA,NA,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,"0"
"86","E048063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","E220063",2,"Phoenix School",220,NA,"FAST Program",NA,NA,3,0.922,NA,NA,6,2,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.2,"0"
"88","S207046",2,"Phoenix School",207,207,"FAST Program",NA,NA,1,0.95,NA,5,5,3,3,1,1,1,1,1,5,4,2,4,2,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,"1"
"89","E424001",4,"San Antonio School",424,424,"Control School",NA,NA,1,0.966,NA,5,2,1,1,2,1,1,2,1,3,2,3,3,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"90","S303046",3,"Phoenix School",303,NA,"Control School",NA,NA,1,0.989,NA,NA,6,3,3,4,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"91","E406007",4,"San Antonio School",406,444,"FAST Program",NA,NA,1,0.927,NA,5,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.7,"1"
"92","E414089",4,"San Antonio School",414,444,"FAST Program",NA,NA,1,0.949,NA,5,2,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,3,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"93","S319005",3,"Phoenix School",319,NA,"Control School",NA,NA,1,0.978,NA,NA,0,3,1,4,1,1,4,1,3,4,1,2,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.8,"1"
"94","E426050",4,"San Antonio School",426,439,"FAST Program",NA,NA,1,0.989,NA,NA,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"1"
"95","E426054",4,"San Antonio School",426,426,"FAST Program",NA,NA,NA,0.881,NA,5,3,3,1,1,2,1,2,1,3,2,1,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,NA
"96","E418021",4,"San Antonio School",418,418,"FAST Program",NA,NA,1,0.994,NA,NA,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"97","E303012",3,"Phoenix School",303,NA,"Control School",NA,NA,1,0.881,NA,NA,6,3,4,4,4,3,4,4,4,1,1,1,1,1,2,1,3,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,"1"
"98","E414017",4,"San Antonio School",414,417,"FAST Program",NA,NA,1,0.944,NA,5,2,2,2,2,2,2,1,2,6,4,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
